FileName,md5Hash,Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses
Sample_0001_BENIGN,8799071c9945b31a11792223d2b65367,34404,84,76192,10,10,84736,164,65760,14,10,6,262144,16736,2816,0
Sample_0002_BENIGN,062418d707962f806df2a3db93f55364,332,28,4608,6,6,0,0,4096,9,0,4,262144,33088,56408,0
Sample_0003_BENIGN,240795dda16f894a9022a1203147e00a,332,0,0,6,6,0,0,0,9,0,1,262144,1344,7041904,0
Sample_0004_RANSOM,95ec5b99800bcb08cb753af75fc6cb52,332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3120,0
Sample_0005_RANSOM,0140b6048bf8d6478a0b870a151b6530,332,28,4992,8,5,0,0,4096,8,0,4,1048576,32768,46420,0
Sample_0006_RANSOM,a9381bfac52b95e4f7f48285ce0f4889,332,0,0,0,5,0,0,450560,10,0,7,1048576,1082,83924,0
Sample_0007_BENIGN,93024f905f314c109c2db7f25737acb8,34404,28,4448,6,6,0,0,4096,9,0,5,524288,33088,1792,0
Sample_0008_RANSOM,29417ca1ddec819144979b8c8b22fff0,332,0,0,0,4,0,0,86016,6,0,5,1048576,0,36592,0
Sample_0009_RANSOM,4c66cfa2b6ad3273f55e65baa27bfb5c,332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0
Sample_0010_BENIGN,070d35813f60d6ab8afe73b5e7792880,332,84,6944,10,10,32128,1393,40960,14,10,6,262144,16704,1080,0
Sample_0011_BENIGN,d28e4108cce2ab4dd1d4bfa5baefe8b0,332,28,689316,0,4,0,0,8192,8,0,3,1048576,1344,1144,0
Sample_0012_RANSOM,d6b83a69fb805fc4a557731cf3d6ecd0,332,0,0,0,4,0,0,273856,2,50,10,1048576,0,20568,0
Sample_0013_RANSOM,caf6c4803a2fcf6d061307369b46d0b6,332,0,0,0,5,0,0,802816,9,0,4,1048576,32768,12280,0
Sample_0014_BENIGN,0726eb636721d36321a42a065040aa39,34404,84,76464,10,10,79136,164,72016,14,10,6,262144,16736,1696,0
Sample_0015_RANSOM,6ba774016af2e16f7598e31cc1e37620,332,0,0,7,10,0,0,0,7,0,8,1048576,0,99628,0
Sample_0016_RANSOM,8f643b0f21b6b42544cfa89a1e055804,332,0,0,0,4,0,0,0,9,2,7,1048576,0,0,0
Sample_0017_BENIGN,f5efcf555d23dda457ee5e7b0d299aa2,332,28,13496,0,4,0,0,8192,48,0,3,1048576,34144,988,0
Sample_0018_RANSOM,22efa8cc1cc4d6499e5453c8bd0d69c6,332,0,0,0,5,0,0,184320,9,0,6,1048576,0,4056,0
Sample_0019_BENIGN,32a943bb67b54a8e0a1f44a05e0d8565,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1536,0
Sample_0020_BENIGN,49ecb90f2ad418a7696813683ec662af,34404,28,35808,5,6,41328,136,28672,14,0,9,1048576,352,864,0
